y,fzone,punt,kick,gofor,red,green,blue
1,1,0.0055,0,0.9945,1,0,253
1,2,0.593,0,0.407,151,0,103
1,3,0.9995,0,0.0005,254,0,0
1,4,1,0,0,255,0,0
2,1,0.004,0,0.996,1,0,253
2,2,0.554,0,0.446,141,0,113
2,3,0.9995,0,0.0005,254,0,0
2,4,1,0,0,255,0,0
3,1,0.0175,0,0.9825,4,0,250
3,2,0.82,0,0.18,209,0,45
3,3,1,0,0,255,0,0
3,4,1,0,0,255,0,0
4,1,0,0,1,0,0,255
4,2,0.1575,0,0.8425,40,0,214
4,3,0.9975,0,0.0025,254,0,0
4,4,1,0,0,255,0,0
5,1,0,0,1,0,0,255
5,2,0,0,1,0,0,255
5,3,0.4725,0,0.5275,120,0,134
5,4,0.9965,0,0.0035,254,0,0
6,1,0,0.0085,0.9915,0,2,252
6,2,0,0.025,0.975,0,6,248
6,3,0.001,0.086,0.913,0,21,232
6,4,0.479,0.1875,0.3335,122,47,85
7,1,0,0.1125,0.8875,0,28,226
7,2,0,0.934,0.066,0,238,16
7,3,0,1,0,0,255,0
7,4,0,1,0,0,255,0
8,1,0,0.001,0.999,0,0,254
8,2,0,0.54,0.46,0,137,117
8,3,0,1,0,0,255,0
8,4,0,1,0,0,255,0
9,1,0,0.184,0.816,0,46,208
9,2,0,0.9835,0.0165,0,250,4
9,3,0,0.9995,0.0005,0,254,0
9,4,0,1,0,0,255,0
10,1,0,0,1,0,0,255
10,2,0,0.2365,0.7635,0,60,194
10,3,0,0.9535,0.0465,0,243,11
10,4,0,0.997,0.003,0,254,0
