y,fzone,punt,kick,gofor
1,1,0.5755,0,0.4245
1,2,0.998,0,0.002
1,3,1,0,0
1,4,1,0,0
2,1,0.437,0,0.563
2,2,0.9965,0,0.0035
2,3,1,0,0
2,4,1,0,0
3,1,0.735,0,0.265
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.324,0,0.676
4,2,0.9945,0,0.0055
4,3,1,0,0
4,4,1,0,0
5,1,0.0065,0,0.9935
5,2,0.681,0,0.319
5,3,1,0,0
5,4,1,0,0
6,1,0,0.011,0.989
6,2,0.003,0.0325,0.9645
6,3,0.832,0.0665,0.1015
6,4,0.9325,0.0675,0
7,1,0,0.6635,0.3365
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.5265,0.4735
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9675,0.0325
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.2535,0.7465
10,2,0,0.9895,0.0105
10,3,0,1,0
10,4,0,1,0
