y,fzone,punt,kick,gofor
1,1,0.0025,0,0.9975
1,2,0.5015,0,0.4985
1,3,0.998,0,0.002
1,4,1,0,0
2,1,0.001,0,0.999
2,2,0.392,0,0.608
2,3,0.999,0,0.001
2,4,1,0,0
3,1,0.009,0,0.991
3,2,0.6745,0,0.3255
3,3,0.999,0,0.001
3,4,1,0,0
4,1,0,0,1
4,2,0.1925,0,0.8075
4,3,0.996,0,0.004
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.6485,0,0.3515
5,4,0.9985,0,0.0015
6,1,0,0.008,0.992
6,2,0,0.023,0.977
6,3,0.0085,0.0735,0.918
6,4,0.692,0.1445,0.1635
7,1,0,0.083,0.917
7,2,0,0.9305,0.0695
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0085,0.9915
8,2,0,0.7865,0.2135
8,3,0,1,0
8,4,0,1,0
9,1,0,0.4355,0.5645
9,2,0,0.998,0.002
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0035,0.9965
10,2,0,0.61,0.39
10,3,0,0.9935,0.0065
10,4,0,1,0
