y,fzone,punt,kick,gofor
1,1,0.0305,0,0.9695
1,2,0.75,0,0.25
1,3,1,0,0
1,4,1,0,0
2,1,0.017,0,0.983
2,2,0.734,0,0.266
2,3,1,0,0
2,4,1,0,0
3,1,0.0615,0,0.9385
3,2,0.9335,0,0.0665
3,3,1,0,0
3,4,1,0,0
4,1,0.0005,0,0.9995
4,2,0.431,0,0.569
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.7715,0,0.2285
5,4,0.9995,0,0.0005
6,1,0,0.0095,0.9905
6,2,0,0.026,0.974
6,3,0.0105,0.0885,0.901
6,4,0.6965,0.1595,0.144
7,1,0,0.202,0.798
7,2,0,0.973,0.027
7,3,0,1,0
7,4,0,1,0
8,1,0,0.01,0.99
8,2,0,0.8095,0.1905
8,3,0,1,0
8,4,0,1,0
9,1,0,0.4005,0.5995
9,2,0,0.9975,0.0025
9,3,0,1,0
9,4,0,1,0
10,1,0,0.001,0.999
10,2,0,0.48,0.52
10,3,0,0.984,0.016
10,4,0,0.9995,0.0005
