y,fzone,punt,kick,gofor
1,1,0.991,0,0.009
1,2,0.9995,0,0.0005
1,3,1,0,0
1,4,1,0,0
2,1,0.9745,0,0.0255
2,2,0.9995,0,0.0005
2,3,1,0,0
2,4,1,0,0
3,1,0.994,0,0.006
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.962,0,0.038
4,2,0.9985,0,0.0015
4,3,1,0,0
4,4,1,0,0
5,1,0.655,0,0.345
5,2,0.9965,0,0.0035
5,3,0.997,0,0.003
5,4,0.998,0,0.002
6,1,0.036,0.014,0.95
6,2,0.8595,0.025,0.1155
6,3,0.9715,0.025,0.0035
6,4,0.972,0.025,0.003
7,1,0,0.9035,0.0965
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.9435,0.0565
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.998,0.002
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.903,0.097
10,2,0,0.999,0.001
10,3,0,1,0
10,4,0,1,0
