y,fzone,punt,kick,gofor
1,1,0.925,0,0.075
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.862,0,0.138
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.9695,0,0.0305
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.7925,0,0.2075
4,2,0.9995,0,0.0005
4,3,1,0,0
4,4,1,0,0
5,1,0.1815,0,0.8185
5,2,0.987,0,0.013
5,3,1,0,0
5,4,1,0,0
6,1,0.0005,0.0135,0.986
6,2,0.283,0.032,0.685
6,3,0.9565,0.043,0.0005
6,4,0.957,0.043,0
7,1,0,0.8495,0.1505
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.8715,0.1285
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9975,0.0025
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.7165,0.2835
10,2,0,0.9995,0.0005
10,3,0,1,0
10,4,0,1,0
