y,fzone,punt,kick,gofor
1,1,0.1335,0,0.8665
1,2,0.9425,0,0.0575
1,3,1,0,0
1,4,1,0,0
2,1,0.075,0,0.925
2,2,0.92,0,0.08
2,3,1,0,0
2,4,1,0,0
3,1,0.241,0,0.759
3,2,0.989,0,0.011
3,3,1,0,0
3,4,1,0,0
4,1,0.045,0,0.955
4,2,0.903,0,0.097
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.2115,0,0.7885
5,3,0.9975,0,0.0025
5,4,1,0,0
6,1,0,0.009,0.991
6,2,0,0.0255,0.9745
6,3,0.536,0.0705,0.3935
6,4,0.919,0.079,0.002
7,1,0,0.4275,0.5725
7,2,0,0.994,0.006
7,3,0,1,0
7,4,0,1,0
8,1,0,0.3,0.7
8,2,0,0.997,0.003
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9195,0.0805
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.2015,0.7985
10,2,0,0.983,0.017
10,3,0,1,0
10,4,0,1,0
