y,fzone,punt,kick,gofor
1,1,0.024,0,0.976
1,2,0.364,0,0.636
1,3,0.895,0,0.105
1,4,0.991,0,0.009
2,1,0,0,1
2,2,0.0005,0,0.9995
2,3,0.0775,0,0.9225
2,4,0.6345,0,0.3655
3,1,0,0,1
3,2,0.003,0,0.997
3,3,0.0205,0,0.9795
3,4,0.9385,0,0.0615
4,1,0,0,1
4,2,0,0,1
4,3,0.003,0,0.997
4,4,0.496,0,0.504
5,1,0,0,1
5,2,0,0,1
5,3,0.0015,0,0.9985
5,4,0.1475,0,0.8525
6,1,0,0.0085,0.9915
6,2,0,0.029,0.971
6,3,0,0.0875,0.9125
6,4,0.001,0.228,0.771
7,1,0,0.024,0.976
7,2,0,0.73,0.27
7,3,0,0.9845,0.0155
7,4,0,0.999,0.001
8,1,0,0,1
8,2,0,0.0225,0.9775
8,3,0,0.955,0.045
8,4,0,0.993,0.007
9,1,0,0.0055,0.9945
9,2,0,0.6805,0.3195
9,3,0,0.9845,0.0155
9,4,0,0.9985,0.0015
10,1,0,0,1
10,2,0,0.0065,0.9935
10,3,0,0.684,0.316
10,4,0,0.959,0.041
