y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.008,0,0.992
1,3,0.742,0,0.258
1,4,0.9975,0,0.0025
2,1,0,0,1
2,2,0.041,0,0.959
2,3,0.9595,0,0.0405
2,4,1,0,0
3,1,0,0,1
3,2,0.097,0,0.903
3,3,0.9945,0,0.0055
3,4,1,0,0
4,1,0,0,1
4,2,0,0,1
4,3,0.463,0,0.537
4,4,0.9965,0,0.0035
5,1,0,0,1
5,2,0,0,1
5,3,0.0035,0,0.9965
5,4,0.604,0,0.396
6,1,0,0.008,0.992
6,2,0,0.026,0.974
6,3,0,0.086,0.914
6,4,0.0175,0.224,0.7585
7,1,0,0.0075,0.9925
7,2,0,0.6035,0.3965
7,3,0,0.999,0.001
7,4,0,1,0
8,1,0,0,1
8,2,0,0.0005,0.9995
8,3,0,0.8715,0.1285
8,4,0,0.9985,0.0015
9,1,0,0.0005,0.9995
9,2,0,0.439,0.561
9,3,0,0.982,0.018
9,4,0,0.999,0.001
10,1,0,0,1
10,2,0,0.001,0.999
10,3,0,0.503,0.497
10,4,0,0.924,0.076
