y,fzone,punt,kick,gofor
1,1,0.214,0,0.786
1,2,0.968,0,0.032
1,3,1,0,0
1,4,1,0,0
2,1,0.1475,0,0.8525
2,2,0.9655,0,0.0345
2,3,1,0,0
2,4,1,0,0
3,1,0.375,0,0.625
3,2,0.995,0,0.005
3,3,1,0,0
3,4,1,0,0
4,1,0.055,0,0.945
4,2,0.9325,0,0.0675
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.1505,0,0.8495
5,3,0.996,0,0.004
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.031,0.969
6,3,0.366,0.0845,0.5495
6,4,0.896,0.101,0.003
7,1,0,0.468,0.532
7,2,0,0.995,0.005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.2155,0.7845
8,2,0,0.991,0.009
8,3,0,1,0
8,4,0,1,0
9,1,0,0.865,0.135
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.054,0.946
10,2,0,0.928,0.072
10,3,0,0.9995,0.0005
10,4,0,1,0
