y,fzone,punt,kick,gofor
1,1,0.3385,0,0.6615
1,2,0.9875,0,0.0125
1,3,1,0,0
1,4,1,0,0
2,1,0.232,0,0.768
2,2,0.983,0,0.017
2,3,1,0,0
2,4,1,0,0
3,1,0.498,0,0.502
3,2,0.997,0,0.003
3,3,1,0,0
3,4,1,0,0
4,1,0.1215,0,0.8785
4,2,0.9695,0,0.0305
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.331,0,0.669
5,3,0.998,0,0.002
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.0315,0.9685
6,3,0.5665,0.0815,0.352
6,4,0.909,0.089,0.002
7,1,0,0.527,0.473
7,2,0,0.9965,0.0035
7,3,0,1,0
7,4,0,1,0
8,1,0,0.3035,0.6965
8,2,0,0.994,0.006
8,3,0,1,0
8,4,0,1,0
9,1,0,0.913,0.087
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.1045,0.8955
10,2,0,0.9605,0.0395
10,3,0,0.9995,0.0005
10,4,0,1,0
