y,fzone,punt,kick,gofor
1,1,1,0,0
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,1,0,0
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,1,0,0
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.7875,0,0.2125
4,2,0.9845,0,0.0155
4,3,0.9985,0,0.0015
4,4,1,0,0
5,1,0.481,0,0.519
5,2,0.8585,0,0.1415
5,3,0.988,0,0.012
5,4,0.9995,0,0.0005
6,1,0.632,0.0055,0.3625
6,2,0.928,0.0065,0.0655
6,3,0.987,0.007,0.006
6,4,0.993,0.007,0
7,1,0.0045,0.765,0.2305
7,2,0.0075,0.991,0.0015
7,3,0.0075,0.9925,0
7,4,0.0075,0.9925,0
8,1,0,0.896,0.104
8,2,0,0.9985,0.0015
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9955,0.0045
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.9445,0.0555
10,2,0,0.99,0.01
10,3,0,0.999,0.001
10,4,0,0.9995,0.0005
