y,fzone,punt,kick,gofor
1,1,0.0015,0,0.9985
1,2,0.2845,0,0.7155
1,3,0.979,0,0.021
1,4,0.996,0,0.004
2,1,0.0005,0,0.9995
2,2,0.261,0,0.739
2,3,0.995,0,0.005
2,4,1,0,0
3,1,0.002,0,0.998
3,2,0.4945,0,0.5055
3,3,0.9975,0,0.0025
3,4,1,0,0
4,1,0,0,1
4,2,0.006,0,0.994
4,3,0.935,0,0.065
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.0715,0,0.9285
5,4,0.942,0,0.058
6,1,0,0.008,0.992
6,2,0,0.0255,0.9745
6,3,0,0.0835,0.9165
6,4,0.141,0.212,0.647
7,1,0,0.0305,0.9695
7,2,0,0.8195,0.1805
7,3,0,1,0
7,4,0,1,0
8,1,0,0,1
8,2,0,0.078,0.922
8,3,0,0.9925,0.0075
8,4,0,1,0
9,1,0,0.0175,0.9825
9,2,0,0.849,0.151
9,3,0,0.9985,0.0015
9,4,0,1,0
10,1,0,0,1
10,2,0,0.0335,0.9665
10,3,0,0.8055,0.1945
10,4,0,0.978,0.022
