y,fzone,punt,kick,gofor
1,1,0.358,0,0.642
1,2,0.989,0,0.011
1,3,1,0,0
1,4,1,0,0
2,1,0.2535,0,0.7465
2,2,0.9855,0,0.0145
2,3,1,0,0
2,4,1,0,0
3,1,0.528,0,0.472
3,2,0.998,0,0.002
3,3,1,0,0
3,4,1,0,0
4,1,0.1375,0,0.8625
4,2,0.9765,0,0.0235
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.3615,0,0.6385
5,3,0.9985,0,0.0015
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.0315,0.9685
6,3,0.593,0.0815,0.3255
6,4,0.9095,0.0885,0.002
7,1,0,0.55,0.45
7,2,0,0.9975,0.0025
7,3,0,1,0
7,4,0,1,0
8,1,0,0.3375,0.6625
8,2,0,0.9965,0.0035
8,3,0,1,0
8,4,0,1,0
9,1,0,0.924,0.076
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.1155,0.8845
10,2,0,0.968,0.032
10,3,0,0.9995,0.0005
10,4,0,1,0
