y,fzone,punt,kick,gofor
1,1,0.5095,0,0.4905
1,2,0.9965,0,0.0035
1,3,1,0,0
1,4,1,0,0
2,1,0.3795,0,0.6205
2,2,0.995,0,0.005
2,3,1,0,0
2,4,1,0,0
3,1,0.678,0,0.322
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.264,0,0.736
4,2,0.992,0,0.008
4,3,1,0,0
4,4,1,0,0
5,1,0.003,0,0.997
5,2,0.582,0,0.418
5,3,1,0,0
5,4,1,0,0
6,1,0,0.01,0.99
6,2,0.001,0.033,0.966
6,3,0.7745,0.069,0.1565
6,4,0.93,0.07,0
7,1,0,0.6415,0.3585
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.473,0.527
8,2,0,0.9995,0.0005
8,3,0,1,0
8,4,0,1,0
9,1,0,0.961,0.039
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.2105,0.7895
10,2,0,0.9855,0.0145
10,3,0,1,0
10,4,0,1,0
