y,fzone,punt,kick,gofor
1,1,0.4145,0,0.5855
1,2,0.994,0,0.006
1,3,1,0,0
1,4,1,0,0
2,1,0.2965,0,0.7035
2,2,0.989,0,0.011
2,3,1,0,0
2,4,1,0,0
3,1,0.589,0,0.411
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.1735,0,0.8265
4,2,0.9855,0,0.0145
4,3,1,0,0
4,4,1,0,0
5,1,0.0005,0,0.9995
5,2,0.439,0,0.561
5,3,0.999,0,0.001
5,4,1,0,0
6,1,0,0.01,0.99
6,2,0,0.032,0.968
6,3,0.6695,0.077,0.2535
6,4,0.9195,0.08,0.0005
7,1,0,0.5845,0.4155
7,2,0,0.998,0.002
7,3,0,1,0
7,4,0,1,0
8,1,0,0.3855,0.6145
8,2,0,0.998,0.002
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9395,0.0605
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.148,0.852
10,2,0,0.9785,0.0215
10,3,0,1,0
10,4,0,1,0
