y,fzone,punt,kick,gofor
1,1,0.0285,0,0.9715
1,2,0.3535,0,0.6465
1,3,0.892,0,0.108
1,4,0.993,0,0.007
2,1,0,0,1
2,2,0.0005,0,0.9995
2,3,0.2485,0,0.7515
2,4,0.873,0,0.127
3,1,0,0,1
3,2,0,0,1
3,3,0.1435,0,0.8565
3,4,0.9945,0,0.0055
4,1,0,0,1
4,2,0,0,1
4,3,0.002,0,0.998
4,4,0.619,0,0.381
5,1,0,0,1
5,2,0,0,1
5,3,0,0,1
5,4,0.147,0,0.853
6,1,0,0.009,0.991
6,2,0,0.0275,0.9725
6,3,0,0.0875,0.9125
6,4,0.001,0.2275,0.7715
7,1,0,0.0055,0.9945
7,2,0,0.502,0.498
7,3,0,0.998,0.002
7,4,0,1,0
8,1,0,0,1
8,2,0,0,1
8,3,0,0.729,0.271
8,4,0,0.9985,0.0015
9,1,0,0.0005,0.9995
9,2,0,0.3055,0.6945
9,3,0,0.9635,0.0365
9,4,0,0.996,0.004
10,1,0,0,1
10,2,0,0.0005,0.9995
10,3,0,0.4125,0.5875
10,4,0,0.8965,0.1035
