y,fzone,punt,kick,gofor
1,1,0.8375,0,0.1625
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.727,0,0.273
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.907,0,0.093
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.6365,0,0.3635
4,2,0.999,0,0.001
4,3,1,0,0
4,4,1,0,0
5,1,0.071,0,0.929
5,2,0.9415,0,0.0585
5,3,1,0,0
5,4,1,0,0
6,1,0,0.012,0.988
6,2,0.0915,0.0345,0.874
6,3,0.942,0.0515,0.0065
6,4,0.9485,0.0515,0
7,1,0,0.795,0.205
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.7655,0.2345
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.994,0.006
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.5425,0.4575
10,2,0,0.999,0.001
10,3,0,1,0
10,4,0,1,0
