y,fzone,punt,kick,gofor
1,1,0.0005,0,0.9995
1,2,0.4045,0,0.5955
1,3,0.997,0,0.003
1,4,1,0,0
2,1,0.0005,0,0.9995
2,2,0.349,0,0.651
2,3,0.999,0,0.001
2,4,1,0,0
3,1,0.006,0,0.994
3,2,0.649,0,0.351
3,3,0.999,0,0.001
3,4,1,0,0
4,1,0,0,1
4,2,0.158,0,0.842
4,3,0.995,0,0.005
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.585,0,0.415
5,4,0.997,0,0.003
6,1,0,0.008,0.992
6,2,0,0.0235,0.9765
6,3,0.0045,0.0815,0.914
6,4,0.6385,0.1595,0.202
7,1,0,0.14,0.86
7,2,0,0.952,0.048
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0175,0.9825
8,2,0,0.848,0.152
8,3,0,1,0
8,4,0,1,0
9,1,0,0.4855,0.5145
9,2,0,0.997,0.003
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0045,0.9955
10,2,0,0.65,0.35
10,3,0,0.99,0.01
10,4,0,0.9995,0.0005
