y,fzone,punt,kick,gofor
1,1,0.127,0,0.873
1,2,0.931,0,0.069
1,3,1,0,0
1,4,1,0,0
2,1,0.085,0,0.915
2,2,0.9405,0,0.0595
2,3,1,0,0
2,4,1,0,0
3,1,0.2685,0,0.7315
3,2,0.992,0,0.008
3,3,1,0,0
3,4,1,0,0
4,1,0.0225,0,0.9775
4,2,0.8645,0,0.1355
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.056,0,0.944
5,3,0.9885,0,0.0115
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.029,0.971
6,3,0.206,0.0895,0.7045
6,4,0.8765,0.115,0.0085
7,1,0,0.397,0.603
7,2,0,0.9915,0.0085
7,3,0,1,0
7,4,0,1,0
8,1,0,0.121,0.879
8,2,0,0.979,0.021
8,3,0,1,0
8,4,0,1,0
9,1,0,0.785,0.215
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0265,0.9735
10,2,0,0.86,0.14
10,3,0,0.999,0.001
10,4,0,1,0
