y,fzone,punt,kick,gofor
1,1,0.023,0,0.977
1,2,0.357,0,0.643
1,3,0.892,0,0.108
1,4,0.9935,0,0.0065
2,1,0,0,1
2,2,0,0,1
2,3,0.1255,0,0.8745
2,4,0.7275,0,0.2725
3,1,0,0,1
3,2,0,0,1
3,3,0.0365,0,0.9635
3,4,0.9765,0,0.0235
4,1,0,0,1
4,2,0,0,1
4,3,0.0015,0,0.9985
4,4,0.5295,0,0.4705
5,1,0,0,1
5,2,0,0,1
5,3,0,0,1
5,4,0.145,0,0.855
6,1,0,0.009,0.991
6,2,0,0.0275,0.9725
6,3,0,0.0885,0.9115
6,4,0.001,0.229,0.77
7,1,0,0.0085,0.9915
7,2,0,0.652,0.348
7,3,0,0.9995,0.0005
7,4,0,1,0
8,1,0,0,1
8,2,0,0.003,0.997
8,3,0,0.9335,0.0665
8,4,0,1,0
9,1,0,0.0005,0.9995
9,2,0,0.541,0.459
9,3,0,0.9875,0.0125
9,4,0,0.9995,0.0005
10,1,0,0,1
10,2,0,0.0015,0.9985
10,3,0,0.5815,0.4185
10,4,0,0.951,0.049
