y,fzone,punt,kick,gofor
1,1,0.215,0,0.785
1,2,0.9685,0,0.0315
1,3,1,0,0
1,4,1,0,0
2,1,0.1475,0,0.8525
2,2,0.966,0,0.034
2,3,1,0,0
2,4,1,0,0
3,1,0.3755,0,0.6245
3,2,0.995,0,0.005
3,3,1,0,0
3,4,1,0,0
4,1,0.0555,0,0.9445
4,2,0.9335,0,0.0665
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.1515,0,0.8485
5,3,0.996,0,0.004
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.031,0.969
6,3,0.3675,0.084,0.5485
6,4,0.8965,0.1005,0.003
7,1,0,0.4685,0.5315
7,2,0,0.995,0.005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.216,0.784
8,2,0,0.991,0.009
8,3,0,1,0
8,4,0,1,0
9,1,0,0.867,0.133
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0545,0.9455
10,2,0,0.929,0.071
10,3,0,0.9995,0.0005
10,4,0,1,0
