y,fzone,punt,kick,gofor
1,1,0.228,0,0.772
1,2,0.9705,0,0.0295
1,3,1,0,0
1,4,1,0,0
2,1,0.165,0,0.835
2,2,0.968,0,0.032
2,3,1,0,0
2,4,1,0,0
3,1,0.3935,0,0.6065
3,2,0.9955,0,0.0045
3,3,1,0,0
3,4,1,0,0
4,1,0.065,0,0.935
4,2,0.9405,0,0.0595
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.177,0,0.823
5,3,0.9965,0,0.0035
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.0305,0.9695
6,3,0.412,0.083,0.505
6,4,0.8995,0.0975,0.003
7,1,0,0.477,0.523
7,2,0,0.9955,0.0045
7,3,0,1,0
7,4,0,1,0
8,1,0,0.234,0.766
8,2,0,0.991,0.009
8,3,0,1,0
8,4,0,1,0
9,1,0,0.879,0.121
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.065,0.935
10,2,0,0.937,0.063
10,3,0,0.9995,0.0005
10,4,0,1,0
