y,fzone,punt,kick,gofor
1,1,0.1025,0,0.8975
1,2,0.916,0,0.084
1,3,1,0,0
1,4,1,0,0
2,1,0.071,0,0.929
2,2,0.9295,0,0.0705
2,3,1,0,0
2,4,1,0,0
3,1,0.238,0,0.762
3,2,0.991,0,0.009
3,3,1,0,0
3,4,1,0,0
4,1,0.0175,0,0.9825
4,2,0.8315,0,0.1685
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.0385,0,0.9615
5,3,0.9795,0,0.0205
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.029,0.971
6,3,0.1605,0.091,0.7485
6,4,0.8645,0.121,0.0145
7,1,0,0.373,0.627
7,2,0,0.9905,0.0095
7,3,0,1,0
7,4,0,1,0
8,1,0,0.097,0.903
8,2,0,0.972,0.028
8,3,0,1,0
8,4,0,1,0
9,1,0,0.755,0.245
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0215,0.9785
10,2,0,0.8325,0.1675
10,3,0,0.999,0.001
10,4,0,1,0
