y,fzone,punt,kick,gofor
1,1,0.0645,0,0.9355
1,2,0.8735,0,0.1265
1,3,1,0,0
1,4,1,0,0
2,1,0.0315,0,0.9685
2,2,0.802,0,0.198
2,3,1,0,0
2,4,1,0,0
3,1,0.1195,0,0.8805
3,2,0.956,0,0.044
3,3,1,0,0
3,4,1,0,0
4,1,0.016,0,0.984
4,2,0.7635,0,0.2365
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.083,0,0.917
5,3,0.9905,0,0.0095
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.0275,0.9725
6,3,0.3575,0.083,0.5595
6,4,0.8965,0.0995,0.004
7,1,0,0.599,0.401
7,2,0,0.9995,0.0005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.5935,0.4065
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.989,0.011
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.5185,0.4815
10,2,0,0.9995,0.0005
10,3,0,1,0
10,4,0,1,0
