y,fzone,punt,kick,gofor
1,1,0.268,0,0.732
1,2,0.978,0,0.022
1,3,1,0,0
1,4,1,0,0
2,1,0.1875,0,0.8125
2,2,0.9745,0,0.0255
2,3,1,0,0
2,4,1,0,0
3,1,0.431,0,0.569
3,2,0.9955,0,0.0045
3,3,1,0,0
3,4,1,0,0
4,1,0.0745,0,0.9255
4,2,0.951,0,0.049
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.2,0,0.8
5,3,0.9975,0,0.0025
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.0305,0.9695
6,3,0.44,0.0835,0.4765
6,4,0.9025,0.095,0.0025
7,1,0,0.479,0.521
7,2,0,0.996,0.004
7,3,0,1,0
7,4,0,1,0
8,1,0,0.23,0.77
8,2,0,0.9915,0.0085
8,3,0,1,0
8,4,0,1,0
9,1,0,0.8775,0.1225
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0635,0.9365
10,2,0,0.935,0.065
10,3,0,0.9995,0.0005
10,4,0,1,0
