y,fzone,punt,kick,gofor
1,1,0.348,0,0.652
1,2,0.989,0,0.011
1,3,1,0,0
1,4,1,0,0
2,1,0.2475,0,0.7525
2,2,0.9855,0,0.0145
2,3,1,0,0
2,4,1,0,0
3,1,0.52,0,0.48
3,2,0.998,0,0.002
3,3,1,0,0
3,4,1,0,0
4,1,0.1295,0,0.8705
4,2,0.976,0,0.024
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.3455,0,0.6545
5,3,0.998,0,0.002
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.0315,0.9685
6,3,0.5755,0.0815,0.343
6,4,0.909,0.089,0.002
7,1,0,0.55,0.45
7,2,0,0.9975,0.0025
7,3,0,1,0
7,4,0,1,0
8,1,0,0.3305,0.6695
8,2,0,0.996,0.004
8,3,0,1,0
8,4,0,1,0
9,1,0,0.921,0.079
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.114,0.886
10,2,0,0.9655,0.0345
10,3,0,0.9995,0.0005
10,4,0,1,0
