y,fzone,punt,kick,gofor
1,1,0.0025,0,0.9975
1,2,0.52,0,0.48
1,3,0.999,0,0.001
1,4,1,0,0
2,1,0.002,0,0.998
2,2,0.5075,0,0.4925
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.013,0,0.987
3,2,0.7875,0,0.2125
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.1135,0,0.8865
4,3,0.9955,0,0.0045
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.386,0,0.614
5,4,0.9955,0,0.0045
6,1,0,0.0085,0.9915
6,2,0,0.026,0.974
6,3,0.0005,0.087,0.9125
6,4,0.401,0.1975,0.4015
7,1,0,0.104,0.896
7,2,0,0.9315,0.0685
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0005,0.9995
8,2,0,0.486,0.514
8,3,0,1,0
8,4,0,1,0
9,1,0,0.1535,0.8465
9,2,0,0.9785,0.0215
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.2095,0.7905
10,3,0,0.95,0.05
10,4,0,0.9965,0.0035
