y,fzone,punt,kick,gofor
1,1,0.002,0,0.998
1,2,0.506,0,0.494
1,3,0.9985,0,0.0015
1,4,1,0,0
2,1,0.001,0,0.999
2,2,0.469,0,0.531
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.0085,0,0.9915
3,2,0.749,0,0.251
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.0885,0,0.9115
4,3,0.9945,0,0.0055
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.345,0,0.655
5,4,0.994,0,0.006
6,1,0,0.008,0.992
6,2,0,0.0245,0.9755
6,3,0,0.085,0.915
6,4,0.379,0.195,0.426
7,1,0,0.08,0.92
7,2,0,0.9115,0.0885
7,3,0,1,0
7,4,0,1,0
8,1,0,0,1
8,2,0,0.4045,0.5955
8,3,0,0.999,0.001
8,4,0,1,0
9,1,0,0.12,0.88
9,2,0,0.9675,0.0325
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.1735,0.8265
10,3,0,0.934,0.066
10,4,0,0.9945,0.0055
