y,fzone,punt,kick,gofor
1,1,0.005,0,0.995
1,2,0.563,0,0.437
1,3,0.9995,0,0.0005
1,4,1,0,0
2,1,0.003,0,0.997
2,2,0.528,0,0.472
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.016,0,0.984
3,2,0.8055,0,0.1945
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.1465,0,0.8535
4,3,0.997,0,0.003
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.4585,0,0.5415
5,4,0.9965,0,0.0035
6,1,0,0.008,0.992
6,2,0,0.025,0.975
6,3,0.001,0.086,0.913
6,4,0.4745,0.187,0.3385
7,1,0,0.1105,0.8895
7,2,0,0.933,0.067
7,3,0,1,0
7,4,0,1,0
8,1,0,0.001,0.999
8,2,0,0.5455,0.4545
8,3,0,1,0
8,4,0,1,0
9,1,0,0.193,0.807
9,2,0,0.9855,0.0145
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.256,0.744
10,3,0,0.9575,0.0425
10,4,0,0.9975,0.0025
