y,fzone,punt,kick,gofor
1,1,0.051,0,0.949
1,2,0.8295,0,0.1705
1,3,1,0,0
1,4,1,0,0
2,1,0.0285,0,0.9715
2,2,0.8185,0,0.1815
2,3,1,0,0
2,4,1,0,0
3,1,0.1145,0,0.8855
3,2,0.9605,0,0.0395
3,3,1,0,0
3,4,1,0,0
4,1,0.003,0,0.997
4,2,0.594,0,0.406
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.0025,0,0.9975
5,3,0.9,0,0.1
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.026,0.974
6,3,0.041,0.089,0.87
6,4,0.7905,0.142,0.0675
7,1,0,0.254,0.746
7,2,0,0.98,0.02
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0275,0.9725
8,2,0,0.8965,0.1035
8,3,0,1,0
8,4,0,1,0
9,1,0,0.5255,0.4745
9,2,0,0.9985,0.0015
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0015,0.9985
10,2,0,0.632,0.368
10,3,0,0.9925,0.0075
10,4,0,1,0
