y,fzone,punt,kick,gofor
1,1,0.7425,0,0.2575
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.6135,0,0.3865
2,2,0.9995,0,0.0005
2,3,1,0,0
2,4,1,0,0
3,1,0.864,0,0.136
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.508,0,0.492
4,2,0.999,0,0.001
4,3,1,0,0
4,4,1,0,0
5,1,0.028,0,0.972
5,2,0.8765,0,0.1235
5,3,1,0,0
5,4,1,0,0
6,1,0,0.0115,0.9885
6,2,0.0345,0.034,0.9315
6,3,0.926,0.054,0.02
6,4,0.946,0.054,0
7,1,0,0.7475,0.2525
7,2,0,0.9995,0.0005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.6855,0.3145
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.987,0.013
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.4335,0.5665
10,2,0,0.998,0.002
10,3,0,1,0
10,4,0,1,0
