y,fzone,punt,kick,gofor
1,1,0.729,0,0.271
1,2,0.9995,0,0.0005
1,3,1,0,0
1,4,1,0,0
2,1,0.598,0,0.402
2,2,0.9995,0,0.0005
2,3,1,0,0
2,4,1,0,0
3,1,0.851,0,0.149
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.485,0,0.515
4,2,0.999,0,0.001
4,3,1,0,0
4,4,1,0,0
5,1,0.0215,0,0.9785
5,2,0.854,0,0.146
5,3,1,0,0
5,4,1,0,0
6,1,0,0.0115,0.9885
6,2,0.0235,0.034,0.9425
6,3,0.9185,0.0555,0.026
6,4,0.9445,0.0555,0
7,1,0,0.7415,0.2585
7,2,0,0.9995,0.0005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.6715,0.3285
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.987,0.013
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.4165,0.5835
10,2,0,0.998,0.002
10,3,0,1,0
10,4,0,1,0
