y,fzone,punt,kick,gofor
1,1,0.0785,0,0.9215
1,2,0.8845,0,0.1155
1,3,1,0,0
1,4,1,0,0
2,1,0.0505,0,0.9495
2,2,0.885,0,0.115
2,3,1,0,0
2,4,1,0,0
3,1,0.167,0,0.833
3,2,0.9815,0,0.0185
3,3,1,0,0
3,4,1,0,0
4,1,0.0085,0,0.9915
4,2,0.731,0,0.269
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.009,0,0.991
5,3,0.9505,0,0.0495
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.028,0.972
6,3,0.09,0.09,0.82
6,4,0.841,0.1295,0.0295
7,1,0,0.318,0.682
7,2,0,0.987,0.013
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0475,0.9525
8,2,0,0.9425,0.0575
8,3,0,1,0
8,4,0,1,0
9,1,0,0.6415,0.3585
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0055,0.9945
10,2,0,0.736,0.264
10,3,0,0.997,0.003
10,4,0,1,0
