y,fzone,punt,kick,gofor
1,1,0.899,0,0.101
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.8275,0,0.1725
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.956,0,0.044
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.7505,0,0.2495
4,2,0.9995,0,0.0005
4,3,1,0,0
4,4,1,0,0
5,1,0.1315,0,0.8685
5,2,0.976,0,0.024
5,3,1,0,0
5,4,1,0,0
6,1,0,0.0135,0.9865
6,2,0.209,0.0335,0.7575
6,3,0.948,0.0485,0.0035
6,4,0.951,0.0485,0.0005
7,1,0,0.8375,0.1625
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.8435,0.1565
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.997,0.003
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.6685,0.3315
10,2,0,0.999,0.001
10,3,0,1,0
10,4,0,1,0
