y,fzone,punt,kick,gofor
1,1,0.0135,0,0.9865
1,2,0.6865,0,0.3135
1,3,1,0,0
1,4,1,0,0
2,1,0.008,0,0.992
2,2,0.666,0,0.334
2,3,1,0,0
2,4,1,0,0
3,1,0.041,0,0.959
3,2,0.902,0,0.098
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.338,0,0.662
4,3,0.999,0,0.001
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.6905,0,0.3095
5,4,0.9995,0,0.0005
6,1,0,0.0085,0.9915
6,2,0,0.0245,0.9755
6,3,0.0055,0.0855,0.909
6,4,0.642,0.163,0.195
7,1,0,0.1575,0.8425
7,2,0,0.961,0.039
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0055,0.9945
8,2,0,0.7265,0.2735
8,3,0,1,0
8,4,0,1,0
9,1,0,0.3255,0.6745
9,2,0,0.9955,0.0045
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0005,0.9995
10,2,0,0.405,0.595
10,3,0,0.9795,0.0205
10,4,0,0.9995,0.0005
