y,fzone,punt,kick,gofor
1,1,0.2325,0,0.7675
1,2,0.971,0,0.029
1,3,1,0,0
1,4,1,0,0
2,1,0.1615,0,0.8385
2,2,0.968,0,0.032
2,3,1,0,0
2,4,1,0,0
3,1,0.3865,0,0.6135
3,2,0.995,0,0.005
3,3,1,0,0
3,4,1,0,0
4,1,0.0585,0,0.9415
4,2,0.937,0,0.063
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.158,0,0.842
5,3,0.9965,0,0.0035
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.0295,0.9705
6,3,0.3835,0.084,0.5325
6,4,0.8985,0.0985,0.003
7,1,0,0.451,0.549
7,2,0,0.9945,0.0055
7,3,0,1,0
7,4,0,1,0
8,1,0,0.197,0.803
8,2,0,0.988,0.012
8,3,0,1,0
8,4,0,1,0
9,1,0,0.8525,0.1475
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.047,0.953
10,2,0,0.917,0.083
10,3,0,0.9995,0.0005
10,4,0,1,0
