y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.0055,0,0.9945
1,3,0.538,0,0.462
1,4,0.988,0,0.012
2,1,0,0,1
2,2,0.005,0,0.995
2,3,0.8065,0,0.1935
2,4,0.998,0,0.002
3,1,0,0,1
3,2,0.003,0,0.997
3,3,0.8365,0,0.1635
3,4,0.999,0,0.001
4,1,0,0,1
4,2,0.0005,0,0.9995
4,3,0.193,0,0.807
4,4,0.98,0,0.02
5,1,0,0,1
5,2,0,0,1
5,3,0.0035,0,0.9965
5,4,0.512,0,0.488
6,1,0,0.009,0.991
6,2,0,0.028,0.972
6,3,0,0.086,0.914
6,4,0.018,0.225,0.757
7,1,0,0.029,0.971
7,2,0,0.77,0.23
7,3,0,0.9915,0.0085
7,4,0,1,0
8,1,0,0,1
8,2,0,0.03,0.97
8,3,0,0.9645,0.0355
8,4,0,0.997,0.003
9,1,0,0.0075,0.9925
9,2,0,0.7275,0.2725
9,3,0,0.988,0.012
9,4,0,0.9985,0.0015
10,1,0,0,1
10,2,0,0.0125,0.9875
10,3,0,0.71,0.29
10,4,0,0.9615,0.0385
