y,fzone,punt,kick,gofor
1,1,0.0315,0,0.9685
1,2,0.7515,0,0.2485
1,3,1,0,0
1,4,1,0,0
2,1,0.0175,0,0.9825
2,2,0.74,0,0.26
2,3,1,0,0
2,4,1,0,0
3,1,0.0665,0,0.9335
3,2,0.9345,0,0.0655
3,3,1,0,0
3,4,1,0,0
4,1,0.0005,0,0.9995
4,2,0.446,0,0.554
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.771,0,0.229
5,4,0.9995,0,0.0005
6,1,0,0.0095,0.9905
6,2,0,0.026,0.974
6,3,0.01,0.089,0.901
6,4,0.689,0.161,0.15
7,1,0,0.2055,0.7945
7,2,0,0.975,0.025
7,3,0,1,0
7,4,0,1,0
8,1,0,0.01,0.99
8,2,0,0.819,0.181
8,3,0,1,0
8,4,0,1,0
9,1,0,0.404,0.596
9,2,0,0.998,0.002
9,3,0,1,0
9,4,0,1,0
10,1,0,0.001,0.999
10,2,0,0.497,0.503
10,3,0,0.984,0.016
10,4,0,0.9995,0.0005
