y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.114,0,0.886
1,3,0.9625,0,0.0375
1,4,1,0,0
2,1,0,0,1
2,2,0.09,0,0.91
2,3,0.9865,0,0.0135
2,4,1,0,0
3,1,0,0,1
3,2,0.19,0,0.81
3,3,0.9975,0,0.0025
3,4,1,0,0
4,1,0,0,1
4,2,0,0,1
4,3,0.617,0,0.383
4,4,0.998,0,0.002
5,1,0,0,1
5,2,0,0,1
5,3,0.005,0,0.995
5,4,0.701,0,0.299
6,1,0,0.008,0.992
6,2,0,0.025,0.975
6,3,0,0.0835,0.9165
6,4,0.025,0.215,0.76
7,1,0,0.0065,0.9935
7,2,0,0.559,0.441
7,3,0,0.999,0.001
7,4,0,1,0
8,1,0,0,1
8,2,0,0.0005,0.9995
8,3,0,0.848,0.152
8,4,0,0.9985,0.0015
9,1,0,0.0005,0.9995
9,2,0,0.4365,0.5635
9,3,0,0.979,0.021
9,4,0,0.999,0.001
10,1,0,0,1
10,2,0,0.001,0.999
10,3,0,0.507,0.493
10,4,0,0.923,0.077
