y,fzone,punt,kick,gofor
1,1,0.0555,0,0.9445
1,2,0.842,0,0.158
1,3,1,0,0
1,4,1,0,0
2,1,0.0325,0,0.9675
2,2,0.836,0,0.164
2,3,1,0,0
2,4,1,0,0
3,1,0.123,0,0.877
3,2,0.967,0,0.033
3,3,1,0,0
3,4,1,0,0
4,1,0.003,0,0.997
4,2,0.622,0,0.378
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.0035,0,0.9965
5,3,0.9095,0,0.0905
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.028,0.972
6,3,0.0455,0.091,0.8635
6,4,0.7945,0.1425,0.063
7,1,0,0.279,0.721
7,2,0,0.9815,0.0185
7,3,0,1,0
7,4,0,1,0
8,1,0,0.033,0.967
8,2,0,0.9155,0.0845
8,3,0,1,0
8,4,0,1,0
9,1,0,0.556,0.444
9,2,0,0.999,0.001
9,3,0,1,0
9,4,0,1,0
10,1,0,0.003,0.997
10,2,0,0.6505,0.3495
10,3,0,0.993,0.007
10,4,0,1,0
