y,fzone,punt,kick,gofor
1,1,0.4685,0,0.5315
1,2,0.9945,0,0.0055
1,3,1,0,0
1,4,1,0,0
2,1,0.34,0,0.66
2,2,0.9925,0,0.0075
2,3,1,0,0
2,4,1,0,0
3,1,0.64,0,0.36
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.222,0,0.778
4,2,0.9905,0,0.0095
4,3,1,0,0
4,4,1,0,0
5,1,0.001,0,0.999
5,2,0.51,0,0.49
5,3,0.9995,0,0.0005
5,4,1,0,0
6,1,0,0.01,0.99
6,2,0.0005,0.0325,0.967
6,3,0.7295,0.071,0.1995
6,4,0.928,0.072,0
7,1,0,0.6135,0.3865
7,2,0,0.9985,0.0015
7,3,0,1,0
7,4,0,1,0
8,1,0,0.4275,0.5725
8,2,0,0.9985,0.0015
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9505,0.0495
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.177,0.823
10,2,0,0.982,0.018
10,3,0,1,0
10,4,0,1,0
