y,fzone,punt,kick,gofor
1,1,0.998,0,0.002
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.997,0,0.003
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,1,0,0
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.9945,0,0.0055
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.9005,0,0.0995
5,2,1,0,0
5,3,1,0,0
5,4,1,0,0
6,1,0.277,0.0125,0.7105
6,2,0.9815,0.015,0.0035
6,3,0.985,0.015,0
6,4,0.985,0.015,0
7,1,0,0.8445,0.1555
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.8905,0.1095
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.998,0.002
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.8205,0.1795
10,2,0,0.999,0.001
10,3,0,0.9995,0.0005
10,4,0,1,0
