y,fzone,punt,kick,gofor
1,1,0.959,0,0.041
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.9205,0,0.0795
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.988,0,0.012
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.8855,0,0.1145
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.3315,0,0.6685
5,2,0.9955,0,0.0045
5,3,1,0,0
5,4,1,0,0
6,1,0.001,0.0135,0.9855
6,2,0.4975,0.03,0.4725
6,3,0.965,0.0345,0.0005
6,4,0.9655,0.0345,0
7,1,0,0.88,0.12
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.911,0.089
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.999,0.001
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.797,0.203
10,2,0,1,0
10,3,0,1,0
10,4,0,1,0
