y,fzone,punt,kick,gofor
1,1,0.005,0,0.995
1,2,0.5885,0,0.4115
1,3,0.9995,0,0.0005
1,4,1,0,0
2,1,0.004,0,0.996
2,2,0.5585,0,0.4415
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.019,0,0.981
3,2,0.8295,0,0.1705
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.1805,0,0.8195
4,3,0.998,0,0.002
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.51,0,0.49
5,4,0.9965,0,0.0035
6,1,0,0.009,0.991
6,2,0,0.0245,0.9755
6,3,0.0015,0.0855,0.913
6,4,0.5105,0.184,0.3055
7,1,0,0.12,0.88
7,2,0,0.948,0.052
7,3,0,1,0
7,4,0,1,0
8,1,0,0.001,0.999
8,2,0,0.6005,0.3995
8,3,0,1,0
8,4,0,1,0
9,1,0,0.2215,0.7785
9,2,0,0.9885,0.0115
9,3,0,1,0
9,4,0,1,0
10,1,0,0,1
10,2,0,0.2935,0.7065
10,3,0,0.9635,0.0365
10,4,0,0.998,0.002
