y,fzone,punt,kick,gofor
1,1,0.9545,0,0.0455
1,2,0.9995,0,0.0005
1,3,1,0,0
1,4,1,0,0
2,1,0.9045,0,0.0955
2,2,0.9995,0,0.0005
2,3,1,0,0
2,4,1,0,0
3,1,0.9805,0,0.0195
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.8595,0,0.1405
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.3005,0,0.6995
5,2,0.9905,0,0.0095
5,3,0.998,0,0.002
5,4,1,0,0
6,1,0.004,0.0135,0.9825
6,2,0.4675,0.0285,0.504
6,3,0.9635,0.033,0.0035
6,4,0.965,0.033,0.002
7,1,0,0.8345,0.1655
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.859,0.141
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9965,0.0035
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.735,0.265
10,2,0,0.999,0.001
10,3,0,1,0
10,4,0,1,0
