y,fzone,punt,kick,gofor
1,1,0.057,0,0.943
1,2,0.8505,0,0.1495
1,3,1,0,0
1,4,1,0,0
2,1,0.037,0,0.963
2,2,0.86,0,0.14
2,3,1,0,0
2,4,1,0,0
3,1,0.137,0,0.863
3,2,0.976,0,0.024
3,3,1,0,0
3,4,1,0,0
4,1,0.005,0,0.995
4,2,0.6775,0,0.3225
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.005,0,0.995
5,3,0.93,0,0.07
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.029,0.971
6,3,0.0605,0.092,0.8475
6,4,0.8185,0.1375,0.044
7,1,0,0.3145,0.6855
7,2,0,0.986,0.014
7,3,0,1,0
7,4,0,1,0
8,1,0,0.046,0.954
8,2,0,0.94,0.06
8,3,0,1,0
8,4,0,1,0
9,1,0,0.6395,0.3605
9,2,0,0.999,0.001
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0055,0.9945
10,2,0,0.7315,0.2685
10,3,0,0.9965,0.0035
10,4,0,1,0
