y,fzone,punt,kick,gofor
1,1,0.316,0,0.684
1,2,0.985,0,0.015
1,3,1,0,0
1,4,1,0,0
2,1,0.2145,0,0.7855
2,2,0.9815,0,0.0185
2,3,1,0,0
2,4,1,0,0
3,1,0.4735,0,0.5265
3,2,0.9965,0,0.0035
3,3,1,0,0
3,4,1,0,0
4,1,0.1045,0,0.8955
4,2,0.962,0,0.038
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.2695,0,0.7305
5,3,0.998,0,0.002
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.0315,0.9685
6,3,0.507,0.082,0.411
6,4,0.9065,0.0915,0.002
7,1,0,0.516,0.484
7,2,0,0.9965,0.0035
7,3,0,1,0
7,4,0,1,0
8,1,0,0.277,0.723
8,2,0,0.993,0.007
8,3,0,1,0
8,4,0,1,0
9,1,0,0.8985,0.1015
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.083,0.917
10,2,0,0.9515,0.0485
10,3,0,0.9995,0.0005
10,4,0,1,0
