y,fzone,punt,kick,gofor
1,1,0.888,0,0.112
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.8085,0,0.1915
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.95,0,0.05
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.7305,0,0.2695
4,2,0.9995,0,0.0005
4,3,1,0,0
4,4,1,0,0
5,1,0.1185,0,0.8815
5,2,0.9725,0,0.0275
5,3,1,0,0
5,4,1,0,0
6,1,0,0.0135,0.9865
6,2,0.1745,0.034,0.7915
6,3,0.9475,0.0505,0.002
6,4,0.9495,0.0505,0
7,1,0,0.8265,0.1735
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.828,0.172
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9955,0.0045
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.6325,0.3675
10,2,0,0.9995,0.0005
10,3,0,1,0
10,4,0,1,0
