y,fzone,punt,kick,gofor
1,1,0.0405,0,0.9595
1,2,0.8,0,0.2
1,3,1,0,0
1,4,1,0,0
2,1,0.023,0,0.977
2,2,0.7855,0,0.2145
2,3,1,0,0
2,4,1,0,0
3,1,0.095,0,0.905
3,2,0.9525,0,0.0475
3,3,1,0,0
3,4,1,0,0
4,1,0.002,0,0.998
4,2,0.5495,0,0.4505
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.001,0,0.999
5,3,0.8725,0,0.1275
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.028,0.972
6,3,0.029,0.09,0.881
6,4,0.767,0.1515,0.0815
7,1,0,0.258,0.742
7,2,0,0.98,0.02
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0295,0.9705
8,2,0,0.8995,0.1005
8,3,0,1,0
8,4,0,1,0
9,1,0,0.527,0.473
9,2,0,0.999,0.001
9,3,0,1,0
9,4,0,1,0
10,1,0,0.002,0.998
10,2,0,0.627,0.373
10,3,0,0.992,0.008
10,4,0,1,0
