y,fzone,punt,kick,gofor
1,1,0.0015,0,0.9985
1,2,0.272,0,0.728
1,3,0.9785,0,0.0215
1,4,0.996,0,0.004
2,1,0.0005,0,0.9995
2,2,0.25,0,0.75
2,3,0.9935,0,0.0065
2,4,1,0,0
3,1,0.002,0,0.998
3,2,0.482,0,0.518
3,3,0.9975,0,0.0025
3,4,1,0,0
4,1,0,0,1
4,2,0.006,0,0.994
4,3,0.93,0,0.07
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.0665,0,0.9335
5,4,0.938,0,0.062
6,1,0,0.008,0.992
6,2,0,0.0255,0.9745
6,3,0,0.084,0.916
6,4,0.138,0.2115,0.6505
7,1,0,0.031,0.969
7,2,0,0.8085,0.1915
7,3,0,1,0
7,4,0,1,0
8,1,0,0,1
8,2,0,0.076,0.924
8,3,0,0.9915,0.0085
8,4,0,1,0
9,1,0,0.017,0.983
9,2,0,0.837,0.163
9,3,0,0.9975,0.0025
9,4,0,1,0
10,1,0,0,1
10,2,0,0.0305,0.9695
10,3,0,0.794,0.206
10,4,0,0.9775,0.0225
