y,fzone,punt,kick,gofor
1,1,0.0165,0,0.9835
1,2,0.699,0,0.301
1,3,1,0,0
1,4,1,0,0
2,1,0.0095,0,0.9905
2,2,0.64,0,0.36
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.0505,0,0.9495
3,2,0.8925,0,0.1075
3,3,1,0,0
3,4,1,0,0
4,1,0.0035,0,0.9965
4,2,0.5595,0,0.4405
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.008,0,0.992
5,3,0.9305,0,0.0695
5,4,1,0,0
6,1,0,0.008,0.992
6,2,0,0.0245,0.9755
6,3,0.1245,0.0815,0.794
6,4,0.859,0.1175,0.0235
7,1,0,0.267,0.733
7,2,0,0.981,0.019
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0945,0.9055
8,2,0,0.9705,0.0295
8,3,0,1,0
8,4,0,1,0
9,1,0,0.7655,0.2345
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0545,0.9455
10,2,0,0.8935,0.1065
10,3,0,0.9995,0.0005
10,4,0,1,0
