y,fzone,punt,kick,gofor
1,1,1,0,0
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,1,0,0
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.9995,0,0.0005
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.3095,0,0.6905
4,2,0.666,0,0.334
4,3,0.925,0,0.075
4,4,0.987,0,0.013
5,1,0.034,0,0.966
5,2,0.1455,0,0.8545
5,3,0.4095,0,0.5905
5,4,0.6665,0,0.3335
6,1,0.085,0.0135,0.9015
6,2,0.2605,0.0235,0.716
6,3,0.5205,0.057,0.4225
6,4,0.6935,0.101,0.2055
7,1,0.004,0.993,0.003
7,2,0.004,0.996,0
7,3,0.004,0.996,0
7,4,0.004,0.996,0
8,1,0,1,0
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,1,0
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.9995,0.0005
10,2,0,0.9995,0.0005
10,3,0,0.9995,0.0005
10,4,0,0.9995,0.0005
