y,fzone,punt,kick,gofor
1,1,0.2085,0,0.7915
1,2,0.9655,0,0.0345
1,3,1,0,0
1,4,1,0,0
2,1,0.14,0,0.86
2,2,0.9635,0,0.0365
2,3,1,0,0
2,4,1,0,0
3,1,0.36,0,0.64
3,2,0.995,0,0.005
3,3,1,0,0
3,4,1,0,0
4,1,0.048,0,0.952
4,2,0.928,0,0.072
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.1315,0,0.8685
5,3,0.995,0,0.005
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.029,0.971
6,3,0.3405,0.0835,0.576
6,4,0.8955,0.1005,0.004
7,1,0,0.439,0.561
7,2,0,0.9935,0.0065
7,3,0,1,0
7,4,0,1,0
8,1,0,0.179,0.821
8,2,0,0.9875,0.0125
8,3,0,1,0
8,4,0,1,0
9,1,0,0.834,0.166
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.041,0.959
10,2,0,0.9055,0.0945
10,3,0,0.9995,0.0005
10,4,0,1,0
