y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.0005,0,0.9995
1,3,0.3355,0,0.6645
1,4,0.9865,0,0.0135
2,1,0,0,1
2,2,0,0,1
2,3,0.4095,0,0.5905
2,4,0.995,0,0.005
3,1,0,0,1
3,2,0,0,1
3,3,0.102,0,0.898
3,4,0.9595,0,0.0405
4,1,0,0,1
4,2,0,0,1
4,3,0,0,1
4,4,0.345,0,0.655
5,1,0,0,1
5,2,0,0,1
5,3,0,0,1
5,4,0.013,0,0.987
6,1,0,0,1
6,2,0,0,1
6,3,0,0,1
6,4,0,0,1
7,1,0,0,1
7,2,0,0,1
7,3,0,0,1
7,4,0,0,1
8,1,0,0,1
8,2,0,0,1
8,3,0,0,1
8,4,0,0,1
9,1,0,0,1
9,2,0,0,1
9,3,0,0,1
9,4,0,0,1
10,1,0,0,1
10,2,0,0,1
10,3,0,0,1
10,4,0,0,1
