y,fzone,punt,kick,gofor
1,1,0.4825,0,0.5175
1,2,0.9945,0,0.0055
1,3,1,0,0
1,4,1,0,0
2,1,0.3265,0,0.6735
2,2,0.9885,0,0.0115
2,3,1,0,0
2,4,1,0,0
3,1,0.5915,0,0.4085
3,2,0.9985,0,0.0015
3,3,1,0,0
3,4,1,0,0
4,1,0.1925,0,0.8075
4,2,0.9825,0,0.0175
4,3,1,0,0
4,4,1,0,0
5,1,0.001,0,0.999
5,2,0.477,0,0.523
5,3,0.999,0,0.001
5,4,1,0,0
6,1,0,0.011,0.989
6,2,0.0005,0.034,0.9655
6,3,0.7215,0.0735,0.205
6,4,0.9245,0.0755,0
7,1,0,0.672,0.328
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.5515,0.4485
8,2,0,0.9995,0.0005
8,3,0,1,0
8,4,0,1,0
9,1,0,0.97,0.03
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.2775,0.7225
10,2,0,0.9915,0.0085
10,3,0,1,0
10,4,0,1,0
