y,fzone,punt,kick,gofor
1,1,0.068,0,0.932
1,2,0.8745,0,0.1255
1,3,1,0,0
1,4,1,0,0
2,1,0.045,0,0.955
2,2,0.8705,0,0.1295
2,3,1,0,0
2,4,1,0,0
3,1,0.15,0,0.85
3,2,0.9775,0,0.0225
3,3,1,0,0
3,4,1,0,0
4,1,0.005,0,0.995
4,2,0.695,0,0.305
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.0055,0,0.9945
5,3,0.9355,0,0.0645
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.0275,0.9725
6,3,0.0715,0.0895,0.839
6,4,0.829,0.1335,0.0375
7,1,0,0.3015,0.6985
7,2,0,0.9855,0.0145
7,3,0,1,0
7,4,0,1,0
8,1,0,0.038,0.962
8,2,0,0.931,0.069
8,3,0,1,0
8,4,0,1,0
9,1,0,0.6075,0.3925
9,2,0,0.999,0.001
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0045,0.9955
10,2,0,0.7035,0.2965
10,3,0,0.9935,0.0065
10,4,0,1,0
