y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.1995,0,0.8005
1,3,0.9885,0,0.0115
1,4,1,0,0
2,1,0,0,1
2,2,0.152,0,0.848
2,3,0.9905,0,0.0095
2,4,1,0,0
3,1,0.0015,0,0.9985
3,2,0.3765,0,0.6235
3,3,0.998,0,0.002
3,4,1,0,0
4,1,0,0,1
4,2,0.023,0,0.977
4,3,0.966,0,0.034
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.2265,0,0.7735
5,4,0.988,0,0.012
6,1,0,0.008,0.992
6,2,0,0.0235,0.9765
6,3,0,0.079,0.921
6,4,0.365,0.184,0.451
7,1,0,0.08,0.92
7,2,0,0.9265,0.0735
7,3,0,1,0
7,4,0,1,0
8,1,0,0.004,0.996
8,2,0,0.705,0.295
8,3,0,1,0
8,4,0,1,0
9,1,0,0.3245,0.6755
9,2,0,0.9965,0.0035
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0005,0.9995
10,2,0,0.4745,0.5255
10,3,0,0.987,0.013
10,4,0,1,0
