y,fzone,punt,kick,gofor
1,1,0.0055,0,0.9945
1,2,0.594,0,0.406
1,3,0.9995,0,0.0005
1,4,1,0,0
2,1,0.004,0,0.996
2,2,0.568,0,0.432
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.02,0,0.98
3,2,0.836,0,0.164
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.188,0,0.812
4,3,0.998,0,0.002
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.521,0,0.479
5,4,0.9965,0,0.0035
6,1,0,0.0085,0.9915
6,2,0,0.0255,0.9745
6,3,0.0015,0.087,0.9115
6,4,0.517,0.184,0.299
7,1,0,0.136,0.864
7,2,0,0.95,0.05
7,3,0,1,0
7,4,0,1,0
8,1,0,0.003,0.997
8,2,0,0.628,0.372
8,3,0,1,0
8,4,0,1,0
9,1,0,0.244,0.756
9,2,0,0.9905,0.0095
9,3,0,1,0
9,4,0,1,0
10,1,0,0,1
10,2,0,0.309,0.691
10,3,0,0.9665,0.0335
10,4,0,0.9975,0.0025
