y,fzone,punt,kick,gofor
1,1,0.047,0,0.953
1,2,0.82,0,0.18
1,3,1,0,0
1,4,1,0,0
2,1,0.0245,0,0.9755
2,2,0.8045,0,0.1955
2,3,1,0,0
2,4,1,0,0
3,1,0.104,0,0.896
3,2,0.958,0,0.042
3,3,1,0,0
3,4,1,0,0
4,1,0.0025,0,0.9975
4,2,0.5685,0,0.4315
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.0015,0,0.9985
5,3,0.8785,0,0.1215
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.026,0.974
6,3,0.032,0.0885,0.8795
6,4,0.7725,0.15,0.0775
7,1,0,0.2395,0.7605
7,2,0,0.9795,0.0205
7,3,0,1,0
7,4,0,1,0
8,1,0,0.02,0.98
8,2,0,0.878,0.122
8,3,0,1,0
8,4,0,1,0
9,1,0,0.491,0.509
9,2,0,0.9985,0.0015
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0015,0.9985
10,2,0,0.6015,0.3985
10,3,0,0.989,0.011
10,4,0,0.9995,0.0005
