y,fzone,punt,kick,gofor
1,1,1,0,0
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.995,0,0.005
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.997,0,0.003
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.9035,0,0.0965
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.542,0,0.458
5,2,0.999,0,0.001
5,3,1,0,0
5,4,1,0,0
6,1,0.0475,0.014,0.9385
6,2,0.892,0.0245,0.0835
6,3,0.9755,0.0245,0
6,4,0.9755,0.0245,0
7,1,0,0.954,0.046
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.998,0.002
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,1,0
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.9995,0.0005
10,2,0,1,0
10,3,0,1,0
10,4,0,1,0
