y,fzone,punt,kick,gofor
1,1,0.007,0,0.993
1,2,0.6245,0,0.3755
1,3,1,0,0
1,4,1,0,0
2,1,0.006,0,0.994
2,2,0.6135,0,0.3865
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.0255,0,0.9745
3,2,0.8615,0,0.1385
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.2325,0,0.7675
4,3,0.9985,0,0.0015
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.558,0,0.442
5,4,0.997,0,0.003
6,1,0,0.009,0.991
6,2,0,0.0265,0.9735
6,3,0.0015,0.09,0.9085
6,4,0.5345,0.185,0.2805
7,1,0,0.164,0.836
7,2,0,0.9615,0.0385
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0045,0.9955
8,2,0,0.695,0.305
8,3,0,1,0
8,4,0,1,0
9,1,0,0.2805,0.7195
9,2,0,0.9925,0.0075
9,3,0,1,0
9,4,0,1,0
10,1,0,0,1
10,2,0,0.36,0.64
10,3,0,0.9735,0.0265
10,4,0,0.9985,0.0015
